trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,id,attributes,channel,gentype,country,region,road,city,housenumber,postalcode
50.77743912,15.72397041,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56920_54059,GSM;26002,21.0,GSM,PL,województwo dolnośląskie,,,,58-540
50.77732468,15.72363472,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56922_43330827,LTE;pl,,GSM,PL,województwo dolnośląskie,Na Śnieżkę,,,58-540
50.79170227,15.85192299,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56922_69002769,LTE;pl,,GSM,PL,województwo dolnośląskie,Kamiennogórska,,,58-530
50.77894974,15.72956276,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_120203025,LTE;pl,6350.0,GSM,PL,województwo dolnośląskie,Szkolna,,4,58-540
50.79449844,15.81591129,T-Mobile Polska S.A.,0,20240710-00000,2024-07-10T11:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_120203035,LTE;pl,225.0,GSM,PL,województwo dolnośląskie,Karkonoska,,34,58-530
50.79238129,15.8636198,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43265290,LTE;pl,,GSM,PL,województwo dolnośląskie,Kamiennogórska,,,58-530
50.78091812,15.74106598,T-Mobile Polska S.A.,1,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43279882,LTE;pl,6350.0,GSM,PL,województwo dolnośląskie,Świętokrzyska,,,58-540
50.78894424,15.77361393,T-Mobile Polska S.A.,0,20240710-00000,2024-07-10T11:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43279892,LTE;pl,225.0,GSM,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.77791595,15.74696732,T-Mobile Polska S.A.,0,20240710-00000,2024-07-10T11:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,26002_56923_43279902,LTE;pl,3175.0,GSM,PL,województwo dolnośląskie,Rybacka,,,58-540
50.78430939,15.76737404,T-Mobile Polska S.A.,1,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43279922,LTE;pl,1599.0,GSM,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.78232574,15.7620554,T-Mobile Polska S.A.,1,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,26002_56923_43279942,LTE;26002,3710.0,LTE,PL,województwo dolnośląskie,Nad Łomnicą,,,58-540
50.82045746,15.77628136,T-Mobile Polska S.A.,1,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43292743,LTE;pl,,GSM,PL,województwo dolnośląskie,Karpacka,Miłków,,58-535
50.77790833,15.72501945,T-Mobile Polska S.A.,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_43300915,LTE;pl,1599.0,GSM,PL,województwo dolnośląskie,Na Śnieżkę,,,58-540
50.80081558,15.68597126,T-Mobile Polska S.A.,0,20240712-00000,2024-07-12T10:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,26002_56923_43317007,LTE;26002,6200.0,LTE,PL,województwo dolnośląskie,,,,58-564
50.79488754,15.69490528,T-Mobile Polska S.A.,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,26002_56923_43317017,LTE;26002,75.0,LTE,PL,województwo dolnośląskie,,,,58-564
50.79520035,15.69941998,T-Mobile Polska S.A.,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,26002_56923_43317047,LTE;26002,1749.0,LTE,PL,województwo dolnośląskie,,,,58-564
50.77895355,15.7403326,T-Mobile Polska S.A.,1,20240710-00000,2024-07-10T12:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,26002_56923_69001756,LTE;pl,,GSM,PL,województwo dolnośląskie,Świętokrzyska,,,58-540
50.77694702,15.74473,T-Mobile Polska S.A.,0,20240710-00000,2024-07-10T11:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,26002_56923_69001766,LTE;pl,,GSM,PL,województwo dolnośląskie,Konstytucji 3 Maja,,,58-540
