trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.81539536,15.75288105,My BMW Hotspot 5216,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:13:1E:70:12:A5,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,366,Miłków,,58-535
50.82269287,15.77707767,AUTO BOX88,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,00:E0:4C:24:77:66,,infra,,2,0,?,?,?,False,40,0,wpa2,PL,województwo dolnośląskie,,Mysłakowice,,58-535
50.81547928,15.67519951,AutoKit_8F,0,20240712-00000,2024-07-09T12:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:E0:4C:C5:C3:D0,,infra,,2,0,?,?,?,True,36,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.80076218,15.83245277,MERCUSYS_6912,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:EB:D8:3A:69:12,,infra,,2,0,?,?,?,True,3,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.7858429,15.77822018,HUAWEI_B535_8558,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,02:F9:5C:58:85:79,,infra,,2,0,?,?,?,False,3,0,wpa2,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.7883873,15.77026081,INTERNET,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,04:79:70:6C:1A:70,,infra,,2,0,?,?,?,False,5,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.79940414,15.82729912,,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,06:34:AF:A6:6E:96,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,1a,58-530
50.77981186,15.73561954,Wifi_SWEQ3A4C7H,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,06:78:63:BA:99:CF,,infra,,?,0,?,?,?,False,7,0,unknown,PL,województwo dolnośląskie,Myśliwska,,19,58-540
50.81556702,15.67532825,HUAWEI Y3 2017,0,20240704-00000,2024-07-04T13:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,06:79:70:2B:4E:AA,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.80083847,15.83236504,Pogotowie,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,08:26:97:C4:2B:2B,,infra,,2,0,?,?,?,True,12,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.80076218,15.83245277,Pogotowie,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,08:26:97:C4:2B:2C,,infra,,2,0,?,?,?,True,36,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.78274536,15.76144028,Wieslaw,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,08:79:8C:8E:C0:54,,infra,,2,0,?,?,?,False,3,0,wpa2,PL,województwo dolnośląskie,Kolejowa,,4,58-540
50.80051804,15.77435875,DTUP-A006302F,2,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,0A:F9:E0:43:B3:E0,,infra,,?,0,?,?,?,False,10,0,unknown,PL,województwo dolnośląskie,366,Ścięgny,,58-534
50.82450485,15.68615627,PLAY Internet 4G LTE-F2CF,2,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,0C:D6:BD:EE:F2:CF,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,89,58-562
